Date,Close/Last,Volume,Open,High,Low
08/01/2019,$10.8924,11218200,$11.0095,$11.1733,$10.8554
07/31/2019,$11.0894,7215690,$11.1167,$11.1733,$10.9753
07/30/2019,$11.1362,15986895,$10.9334,$11.1967,$10.9256
07/29/2019,$10.6682,15009855,$10.5316,$10.6955,$10.5316
07/26/2019,$10.6877,8158985,$10.6877,$10.713,$10.6467
07/25/2019,$10.6389,6906880,$10.6291,$10.6789,$10.5931
07/24/2019,$10.7462,5578510,$10.7013,$10.7676,$10.6779
07/23/2019,$10.6116,3651135,$10.5862,$10.6233,$10.5375
07/22/2019,$10.4926,4826095,$10.5355,$10.5414,$10.4692
07/19/2019,$10.4653,2003460,$10.5921,$10.596,$10.4634
07/18/2019,$10.5219,4181940,$10.4634,$10.5414,$10.4166
07/17/2019,$10.6038,5128305,$10.6838,$10.6877,$10.5648
07/16/2019,$10.5297,7307025,$10.5638,$10.6311,$10.4712
07/15/2019,$10.8768,4588360,$10.9217,$10.9314,$10.8542
07/12/2019,$10.8768,3850615,$10.8593,$10.9197,$10.8339
07/11/2019,$10.7306,13984810,$10.7247,$10.7676,$10.7052
07/10/2019,$10.6838,4169465,$10.7481,$10.7657,$10.6623
07/09/2019,$10.6057,6537715,$10.557,$10.6311,$10.513
07/08/2019,$10.6604,8454945,$10.7072,$10.7111,$10.6604
